kecamatan_id,kecamatan_nama,month_start,disease,cases
33.74.15,Ngaliyan,2025-07-01,ISPA,2675
33.74.15,Ngaliyan,2025-08-01,ISPA,2520
33.74.15,Ngaliyan,2025-09-01,ISPA,2943
33.74.15,Ngaliyan,2025-10-01,ISPA,2979
33.74.15,Ngaliyan,2025-11-01,ISPA,2813
33.74.15,Ngaliyan,2025-12-01,ISPA,2377
33.74.16,Tugu,2025-01-01,ISPA,1761
33.74.16,Tugu,2025-02-01,ISPA,1624
33.74.16,Tugu,2025-03-01,ISPA,1598
33.74.16,Tugu,2025-04-01,ISPA,1309
33.74.16,Tugu,2025-05-01,ISPA,1367
33.74.16,Tugu,2025-06-01,ISPA,1509
33.74.16,Tugu,2025-07-01,ISPA,1690
33.74.16,Tugu,2025-08-01,ISPA,2036
33.74.16,Tugu,2025-09-01,ISPA,2028
33.74.16,Tugu,2025-10-01,ISPA,1971
33.74.16,Tugu,2025-11-01,ISPA,2100
33.74.16,Tugu,2025-12-01,ISPA,1685
