kecamatan_id,kecamatan_nama,month_start,rainfall_mm,temp_mean_c,humidity_pct
33.74.06,Gayamsari,2024-12-01,302.6,26.8,86.6
33.74.06,Gayamsari,2025-01-01,287.0,26.2,86.4
33.74.06,Gayamsari,2025-02-01,153.7,26.4,83.9
33.74.06,Gayamsari,2025-03-01,154.7,27.1,82.8
33.74.06,Gayamsari,2025-04-01,134.2,27.5,79.4
33.74.06,Gayamsari,2025-05-01,243.0,27.3,82.1
33.74.06,Gayamsari,2025-06-01,89.7,27.8,73.1
33.74.06,Gayamsari,2025-07-01,35.8,28.2,65.1
33.74.06,Gayamsari,2025-08-01,141.2,27.8,70.4
33.74.06,Gayamsari,2025-09-01,112.9,28.4,68.7
33.74.06,Gayamsari,2025-10-01,263.5,28.2,74.2
33.74.06,Gayamsari,2025-11-01,173.1,27.3,80.1
33.74.06,Gayamsari,2025-12-01,176.6,27.0,82.8
33.74.06,Gayamsari,2026-01-01,298.3,26.0,83.6
33.74.06,Gayamsari,2026-02-01,223.2,26.1,84.2
33.74.06,Gayamsari,2026-03-01,150.7,27.1,79.0
33.74.06,Gayamsari,2026-04-01,164.1,28.3,74.7
33.74.06,Gayamsari,2026-05-01,93.3,28.5,74.5
33.74.06,Gayamsari,2026-06-01,37.3,28.7,65.4
33.74.06,Gayamsari,2026-07-01,3.2,28.5,57.5
